cpu,ram,net_sent,net_recv,timestamp,net_sent_diff,net_recv_diff,anomaly
18.3,81.0,9365904,151978289,2026-01-02 13:45:35.809184551,0.0,0.0,-1
3.4,80.8,9365904,151978289,2026-01-02 13:45:35.809184551,0.0,0.0,1
2.2,80.8,9365904,151978289,2026-01-02 13:45:35.809184551,0.0,0.0,1
3.1,80.5,9365904,151978289,2026-01-02 13:45:35.809184551,0.0,0.0,1
2.7,80.7,9365904,151978538,2026-01-02 13:45:35.809184551,0.0,249.0,1
0.4,80.7,9365904,151978538,2026-01-02 13:45:35.809184551,0.0,0.0,1
0.4,80.7,9365993,151978683,2026-01-02 13:45:35.809184551,89.0,145.0,1
2.3,80.6,9365993,151978683,2026-01-02 13:45:35.809184551,0.0,0.0,1
3.4,80.7,9366075,151978821,2026-01-02 13:45:35.809184551,82.0,138.0,1
7.2,80.6,9366075,151978821,2026-01-02 13:45:35.809184551,0.0,0.0,1
1.1,80.6,9366075,151978821,2026-01-02 13:45:35.809184551,0.0,0.0,1
3.0,80.6,9366075,151978912,2026-01-02 13:45:35.809184551,0.0,91.0,1
3.1,80.7,9366075,151978912,2026-01-02 13:45:35.809184551,0.0,0.0,1
2.3,80.7,9366075,151978912,2026-01-02 13:45:35.809184551,0.0,0.0,1
3.0,80.7,9366075,151978912,2026-01-02 13:45:35.809184551,0.0,0.0,1
0.8,80.7,9366075,151978912,2026-01-02 13:45:35.809184551,0.0,0.0,1
1.1,80.7,9366117,151979057,2026-01-02 13:45:35.809184551,42.0,145.0,1
2.3,80.7,9366117,151979057,2026-01-02 13:45:35.809184551,0.0,0.0,1
3.4,80.7,9366117,151979160,2026-01-02 13:45:35.809184551,0.0,103.0,1
7.2,80.7,9366117,151979661,2026-01-02 13:45:35.809184551,0.0,501.0,1
10.1,80.8,9366117,151979661,2026-01-02 13:45:35.809184551,0.0,0.0,1
1.9,80.8,9366117,151979661,2026-01-02 13:45:35.809184551,0.0,0.0,1
